"","Checkin_2010","Checkin_2011","Checkin_2012","Checkin_2013","Checkin_2014","Checkin_2015","Checkin_2016","Checkin_2017","Checkin_2018"
"4447",0,0,0,0,0,0,4,1,6
"4448",0,0,0,0,0,0,0,2,2
"4449",0,0,0,0,0,0,0,0,9
"4450",1,0,0,0,3,1,2,1,0
"4451",0,0,160,131,186,141,125,71,60
"4452",1,14,16,8,2,8,1,4,11
"4453",0,0,0,0,0,0,0,3,78
"4454",21,35,95,174,152,195,143,67,59
"4455",0,0,16,34,27,24,17,7,4
"4456",0,0,0,0,0,0,1,4,1
"4457",0,0,0,0,69,198,117,64,66
"4458",1,1,6,4,15,6,3,4,4
"4459",0,0,0,0,0,0,0,6,0
"4460",0,0,0,44,29,47,46,26,14
"4461",0,0,0,0,0,0,0,37,22
"4462",0,0,0,0,1,115,80,82,72
"4463",0,0,0,390,445,284,160,123,56
"4464",0,0,0,2,3,6,6,8,5
"4465",0,0,0,0,0,0,0,1,29
"4466",9,47,61,49,40,55,58,86,31
"4467",0,2,6,9,6,6,1,5,1
"4468",0,23,45,57,88,73,50,29,19
"4469",0,0,0,0,1,2,2,2,1
"4470",2,10,9,18,30,28,20,14,19
"4471",0,0,0,0,0,0,130,214,137
"4472",0,0,0,0,0,0,0,0,3
"4473",0,0,0,32,33,9,3,3,3
"4474",0,0,0,0,0,0,0,16,106
"4475",0,0,0,0,5,1,0,0,1
"4476",6,35,18,43,53,36,51,30,12
"4477",9,30,58,53,36,22,13,13,36
"4478",0,0,0,0,0,0,0,83,154
"4479",0,0,0,0,0,0,4,8,5
"4480",4,3,9,9,16,21,17,18,5
"4481",2,113,187,193,166,165,155,122,117
"4482",31,227,511,437,381,390,271,241,141
"4483",11,49,53,41,34,53,32,57,61
"4484",28,102,94,214,156,124,96,79,28
"4485",0,0,0,0,0,0,2,9,12
"4486",9,17,24,28,37,24,27,22,8
"4487",0,0,0,0,0,0,0,1,0
"4488",1,25,25,27,20,12,15,14,10
"4489",1,0,0,0,1,0,1,0,1
"4490",1,11,8,20,6,10,9,8,5
"4491",7,32,26,39,33,39,40,21,12
"4492",2,36,39,11,10,41,26,14,9
"4493",0,0,0,0,1,11,11,11,5
"4494",0,0,0,0,0,0,0,0,3
"4495",23,53,52,53,42,28,28,16,16
"4496",0,29,8,10,4,3,6,3,2
"4497",0,0,8,13,8,6,2,1,0
"4498",1,13,36,19,8,4,2,3,1
"4499",27,72,74,172,83,56,46,42,31
"4500",1,1,5,4,5,4,2,3,4
"4501",0,0,0,0,0,0,7,4,4
"4502",0,0,0,0,0,0,57,33,15
"4503",0,0,0,0,0,0,0,31,100
"4504",8,38,87,100,53,55,74,59,37
"4505",0,0,0,0,3,5,2,5,3
"4506",0,0,0,0,0,0,0,4,26
"4507",184,728,757,676,612,553,432,293,242
"4508",0,0,0,0,0,0,0,0,133
"4509",0,0,0,0,0,0,0,65,43
"4510",0,0,0,0,0,0,0,58,13
"4511",2,2,1,0,2,3,3,1,0
"4512",28,104,136,139,108,215,195,189,112
"4513",0,0,0,0,0,2,0,0,0
"4514",0,0,0,0,0,0,0,0,11
"4515",2,13,28,16,35,25,29,37,14
"4516",1,11,15,29,19,8,7,18,2
"4517",0,0,7,18,19,27,22,3,9
"4518",0,0,0,1,0,3,1,0,3
"4519",0,0,0,0,832,824,560,469,328
"4520",0,0,0,0,15,11,9,11,4
"4521",1,0,2,0,1,0,2,0,0
"4522",0,0,0,0,0,0,2,50,29
"4523",0,2,29,36,56,30,15,7,2
"4524",0,0,0,0,0,0,0,0,3
"4525",0,0,0,0,0,0,0,7,10
"4526",0,2,4,17,5,15,8,5,2
"4527",1,3,1,7,1,7,5,6,2
"4528",0,0,0,0,4,37,13,22,16
"4529",14,86,156,146,53,26,23,19,40
"4530",106,202,223,220,268,156,125,132,101
"4531",43,175,205,260,320,291,204,102,70
"4532",0,30,31,49,79,53,24,29,13
"4533",6,46,41,27,26,19,16,75,8
"4534",0,0,0,0,0,0,0,0,22
"4535",0,0,0,0,11,13,5,3,1
"4536",0,28,111,216,177,154,97,81,63
"4537",7,27,28,36,34,38,35,34,25
"4538",0,7,33,15,23,14,7,5,2
"4539",0,0,0,0,0,1,0,0,1
"4540",0,0,0,0,0,0,0,0,1
"4541",0,0,0,0,3,3,8,0,1
"4542",0,6,8,17,10,11,10,11,6
"4543",0,0,0,0,0,0,0,0,1
"4544",1,0,4,0,1,0,1,0,0
"4545",0,0,0,0,0,0,0,120,48
"4546",0,0,2,3,1,2,0,2,2
"4547",0,0,0,0,0,0,0,0,3
"4548",0,61,161,98,53,41,37,15,14
"4549",3,5,5,17,12,12,15,61,15
"4550",6,10,18,17,12,22,23,19,8
"4551",0,0,0,0,0,0,0,0,10
"4552",26,122,143,140,97,86,72,86,95
"4553",0,0,0,0,0,0,0,1,1
"4554",0,0,0,0,4,4,2,4,5
"4555",25,119,114,137,132,132,137,89,47
"4556",0,0,0,0,0,0,1,2,1
"4557",0,1,8,4,4,8,6,4,3
"4558",3,7,10,8,14,19,19,16,10
"4559",0,0,1,1,0,1,0,0,0
"4560",0,0,0,0,0,153,608,568,422
"4561",68,166,371,785,572,828,720,1052,337
"4562",39,122,154,133,114,102,87,77,43
"4563",0,0,3,1,2,0,0,1,1
"4564",15,60,66,67,45,57,34,19,10
"4565",0,2,4,13,7,6,6,1,2
"4566",0,0,5,1,3,1,13,32,44
"4567",0,0,0,0,0,0,0,4,0
"4568",8,8,11,8,13,12,20,7,9
"4569",23,85,154,175,144,182,143,108,80
"4570",0,3,0,1,2,4,1,2,0
"4571",5,36,63,44,54,27,40,10,14
"4572",0,0,0,0,0,0,0,1,0
"4573",2,4,7,5,7,10,5,5,4
"4574",0,0,0,213,919,633,485,327,245
"4575",0,0,0,0,0,21,20,18,11
"4576",0,1,1,6,4,2,1,2,3
"4577",0,0,0,0,0,0,0,0,22
"4578",1,8,18,20,29,17,12,5,7
"4579",1,4,18,7,5,6,32,7,5
"4580",11,23,32,29,31,38,39,29,17
"4581",1,49,140,38,51,29,17,16,8
"4582",97,369,398,370,360,349,270,269,116
"4583",0,2,11,20,17,8,5,3,3
"4584",0,0,0,3,18,19,11,13,10
"4585",0,0,127,591,652,519,407,435,240
"4586",4,0,0,0,0,0,1,0,5
"4587",57,190,253,200,189,167,181,98,50
"4588",0,0,0,0,0,0,0,0,10
"4589",0,0,0,0,0,0,61,62,29
"4590",0,7,9,6,12,4,8,8,3
"4591",5,10,17,15,14,9,3,10,0
"4592",0,0,1,20,12,15,23,21,13
"4593",3,9,19,40,23,18,12,24,8
"4594",3,12,13,15,11,12,11,11,9
"4595",0,0,1,1,0,0,0,1,1
"4596",16,82,116,128,112,107,104,117,61
"4597",0,0,4,2,9,7,12,15,11
"4598",0,0,0,0,0,0,0,4,35
"4599",0,0,0,2,1,0,1,0,4
"4600",0,0,0,0,1,1,2,1,0
"4601",0,0,0,0,0,8,1,5,3
"4602",7,16,34,16,9,3,8,3,11
"4603",0,0,0,0,9,37,23,14,17
"4604",6,13,12,12,14,4,5,2,2
"4605",0,0,11,71,86,85,90,80,65
"4606",0,0,0,0,0,0,12,35,37
"4607",30,110,75,77,43,41,38,26,16
"4608",0,0,0,0,34,40,53,100,33
"4609",6,32,26,32,43,32,23,16,4
"4610",11,84,26,38,37,39,35,21,20
"4611",0,7,3,2,4,15,12,3,3
"4612",2,2,2,3,2,11,18,9,6
"4613",3,12,19,34,39,18,31,42,40
"4614",0,0,0,8,32,32,24,14,5
"4615",0,0,0,0,0,0,0,2,1
"4616",0,5,4,8,18,20,14,9,10
"4617",1,6,9,12,5,3,6,2,0
"4618",0,0,0,0,0,6,7,12,17
"4619",0,0,0,0,0,0,0,29,42
"4620",0,0,0,0,0,0,0,1,24
"4621",13,64,69,49,57,59,74,74,32
"4622",0,0,0,0,0,0,3,1,7
"4623",2,15,23,31,48,81,25,14,17
"4624",8,26,76,106,100,111,89,85,54
"4625",0,4,14,14,12,11,27,19,8
"4626",3,3,7,1,8,10,1,5,4
"4627",0,0,0,0,0,0,0,7,5
"4628",0,0,0,0,0,0,0,0,39
"4629",0,0,0,0,5,13,17,11,4
"4630",9,74,99,89,101,106,98,148,146
"4631",0,0,0,0,0,0,0,10,10
"4632",0,0,2,3,0,0,0,0,0
"4633",0,0,0,0,1,0,48,61,43
"4634",0,0,0,25,49,67,44,13,11
"4635",0,2,5,3,5,4,0,2,4
"4636",0,0,0,15,0,1,0,1,0
"4637",0,0,0,0,0,0,0,0,208
"4638",0,0,0,0,0,0,0,0,36
"4639",0,0,0,0,0,4,0,0,0
"4640",0,8,5,20,8,10,6,3,2
"4641",0,0,5,23,14,16,17,6,12
"4642",3,25,47,41,40,28,27,21,22
"4643",0,0,0,0,3,2,1,1,2
"4644",0,0,0,0,0,0,2,104,66
"4645",0,4,3,3,5,2,6,6,5
"4646",5,8,27,35,34,20,18,20,16
"4647",5,6,6,14,8,33,16,11,18
"4648",0,0,28,57,27,28,15,4,2
"4649",0,0,0,0,0,0,0,10,6
"4650",0,0,0,0,0,0,0,4,6
"4651",0,0,0,4,0,1,1,0,0
"4652",6,8,63,46,38,24,19,11,11
"4653",1,6,10,15,21,23,23,26,16
"4654",0,0,0,0,0,0,0,8,34
"4655",0,3,0,3,1,13,12,9,1
"4656",7,31,36,38,26,41,30,27,13
"4657",19,77,78,1,6,1,0,0,0
"4658",0,0,0,57,105,39,53,37,26
"4659",0,3,5,1,0,2,1,1,0
"4660",2,1,3,4,6,0,6,4,4
"4661",1,1,6,6,5,6,2,5,0
"4662",0,0,10,39,50,61,69,51,37
"4663",0,0,0,0,0,0,0,15,6
"4664",0,13,42,26,29,24,24,22,0
"4665",0,0,4,0,1,1,3,4,1
"4666",0,0,1,1,3,8,2,6,0
"4667",0,1,4,1,1,2,0,3,0
"4668",0,0,1,2,8,9,1,0,3
"4669",0,0,0,0,0,0,0,0,23
"4670",0,0,2,1,2,1,4,2,2
"4671",6,40,68,71,65,103,75,45,32
"4672",0,0,3,3,1,1,0,0,1
"4673",17,117,108,87,46,68,69,41,21
"4674",7,21,32,96,33,32,18,16,11
"4675",17,43,51,63,42,40,20,17,16
"4676",0,0,2,1,1,3,2,0,1
"4677",0,1,4,7,9,12,6,8,8
"4678",0,15,23,33,38,36,57,42,41
"4679",0,0,0,0,0,0,0,1,0
"4680",0,0,0,0,0,0,0,0,8
"4681",0,0,0,0,3,1,3,2,1
"4682",6,25,42,27,21,24,20,15,29
"4683",6,27,37,40,27,40,182,63,25
"4684",1,18,7,7,8,13,16,7,4
"4685",4,26,19,21,18,18,29,29,11
"4686",1,16,22,37,34,19,12,35,15
"4687",13,103,150,162,123,75,121,85,53
"4688",8,70,92,124,79,55,88,57,46
"4689",0,0,0,0,0,0,34,14,7
"4690",0,1,9,10,36,35,22,64,47
"4691",0,0,0,0,0,0,0,0,63
"4692",0,0,0,0,0,0,0,26,11
"4693",0,0,0,0,16,5,17,10,12
"4694",0,0,0,0,0,0,0,0,11
"4695",0,0,0,0,0,0,0,0,54
"4696",0,0,0,0,0,7,27,23,4
"4697",0,0,0,2,3,5,1,0,0
"4698",0,0,2,16,59,40,57,38,34
"4699",0,0,0,0,0,0,90,163,126
"4700",0,2,3,11,9,4,1,51,16
"4701",0,0,0,8,6,3,10,3,0
"4702",0,0,0,0,0,3,10,24,10
"4703",0,0,0,0,0,0,0,11,17
"4704",0,0,0,0,0,0,0,0,20
"4705",0,0,0,0,0,12,55,28,23
"4706",33,147,268,239,173,149,135,114,90
"4707",0,0,0,0,2,4,0,0,5
"4708",3,14,32,33,29,29,33,18,9
"4709",0,1,2,3,5,6,6,8,11
"4710",0,0,0,0,0,0,0,1,0
"4711",0,7,10,9,76,115,8,2,1
"4712",1,1,1,3,7,1,5,11,2
"4713",0,33,184,152,159,135,58,54,32
"4714",0,0,0,0,0,101,75,74,36
"4715",0,1,3,23,11,7,12,5,3
"4716",4,67,54,93,91,62,34,30,17
"4717",4,111,103,89,45,38,21,24,11
"4718",1,13,26,23,27,24,11,23,3
"4719",0,0,0,1,0,2,1,1,0
"4720",0,0,0,0,0,0,1,34,74
"4721",0,0,0,0,0,6,5,3,5
"4722",184,600,542,429,399,392,316,211,161
"4723",1,5,3,3,2,1,0,3,0
"4724",0,0,0,0,0,0,0,34,66
"4725",0,0,0,0,0,15,4,13,1
"4726",0,1,2,0,36,28,21,9,1
"4727",0,0,0,3,1,6,3,1,2
"4728",0,0,0,0,0,2,5,4,3
"4729",0,0,0,0,0,0,56,95,64
"4730",0,0,0,0,0,14,22,15,6
"4731",8,44,45,52,40,29,39,26,20
"4732",0,0,0,0,0,22,5,7,3
"4733",0,2,2,0,4,2,0,4,1
"4734",9,9,49,30,36,42,27,25,13
"4735",0,2,2,6,6,1,2,4,0
"4736",0,0,0,0,0,2,10,29,21
"4737",1,3,9,13,11,5,19,1,1
"4738",24,115,129,214,263,243,236,215,195
"4739",0,0,0,0,0,0,38,640,213
"4740",1,1,3,8,0,0,2,0,1
"4741",3,42,68,42,54,138,96,45,27
"4742",0,0,1,1,0,0,0,0,0
"4743",0,0,0,0,0,0,1,0,1
"4744",70,173,220,296,259,189,174,172,108
"4745",6,6,21,27,13,28,136,28,4
"4746",0,0,26,34,7,26,8,5,2
"4747",0,10,6,7,4,1,3,9,6
"4748",0,6,6,3,4,9,7,1,3
"4749",0,0,4,3,3,2,0,0,0
"4750",0,0,0,0,0,0,0,9,2
"4751",14,82,69,78,67,81,43,17,15
"4752",42,137,152,265,272,192,196,162,140
"4753",0,21,4,0,0,1,0,0,0
"4754",328,1498,1621,1456,1484,1149,731,636,468
"4755",0,0,0,0,0,10,12,23,14
"4756",22,56,34,27,9,43,22,21,16
"4757",12,59,84,72,70,81,57,45,30
"4758",0,11,18,28,18,15,17,25,8
"4759",0,0,0,0,0,0,0,0,211
"4760",0,0,0,0,0,3,3,1,0
"4761",0,0,0,0,0,0,0,0,73
"4762",0,0,0,0,30,45,43,71,52
"4763",0,11,16,9,12,10,15,3,5
"4764",1,24,41,18,25,30,9,11,6
"4765",15,58,32,47,53,47,45,22,21
"4766",0,0,1,0,0,1,1,1,1
"4767",0,2,20,7,8,13,8,10,4
"4768",0,7,6,8,0,3,2,2,3
"4769",0,0,0,0,0,0,18,47,28
"4770",0,3,7,5,22,9,12,16,10
"4771",0,0,1,0,1,4,3,4,1
"4772",4,11,15,41,11,12,8,9,3
"4773",0,0,8,11,20,5,14,16,12
"4774",0,0,14,35,47,49,28,35,115
"4775",0,0,0,0,0,0,2,3,1
"4776",0,2,1,3,0,1,0,4,2
"4777",0,0,0,0,0,0,0,0,87
"4778",0,0,0,3,11,6,10,2,0
"4779",0,0,0,0,0,13,6,12,3
"4780",0,0,0,0,0,80,61,31,22
"4781",4,41,49,41,36,42,23,24,13
"4782",0,2,0,25,1,17,12,9,4
"4783",0,0,0,0,0,0,61,32,25
"4784",0,0,0,0,0,0,1,3,0
"4785",0,3,2,2,3,5,4,5,2
"4786",0,5,6,5,11,1,10,5,1
"4787",0,0,0,0,0,0,46,45,17
"4788",6,39,33,38,22,22,24,11,10
"4789",0,12,20,13,14,8,7,6,5
"4790",0,0,0,0,0,0,0,0,51
"4791",0,0,0,0,0,0,0,278,274
"4792",0,0,0,0,0,0,5,7,1
"4793",0,0,0,106,459,369,239,169,136
"4794",16,444,481,419,520,585,709,506,489
"4795",0,0,0,0,0,0,0,0,4
"4796",2,38,1,7,49,29,42,34,18
"4797",0,0,0,0,0,0,0,131,150
"4798",0,0,0,0,0,0,1,9,2
"4799",0,0,50,38,35,7,9,8,6
"4800",0,3,6,13,7,2,14,7,7
"4801",0,0,0,0,0,0,2,0,2
"4802",0,0,0,0,0,1,7,6,4
"4803",0,0,0,3,147,135,105,68,42
"4804",0,0,0,132,122,93,49,44,41
"4805",0,4,5,3,2,2,2,0,2
"4806",11,21,60,52,35,9,7,2,0
"4807",0,0,0,0,0,0,0,0,19
"4808",5,26,15,22,11,20,10,9,7
"4809",0,0,0,0,0,0,121,76,52
"4810",3,23,40,91,45,27,30,5,2
"4811",0,0,0,0,0,1,0,0,0
"4812",0,0,0,0,0,0,0,56,95
"4813",1,8,7,9,24,28,14,18,11
"4814",6,18,24,26,29,15,30,8,4
"4815",0,0,0,0,0,0,0,23,12
"4816",0,0,0,0,0,0,564,406,231
"4817",2,23,28,13,12,6,12,4,6
"4818",27,90,57,45,23,16,8,7,3
"4819",18,58,98,194,166,120,138,82,62
"4820",0,0,0,1,0,3,2,1,0
"4821",2,18,40,36,24,14,13,22,11
"4822",90,511,670,555,509,332,180,147,112
"4823",0,0,0,0,22,29,71,66,75
"4824",0,0,0,0,0,4,37,31,6
"4825",0,3,2,1,2,7,3,2,1
"4826",0,0,2,0,1,2,3,6,0
"4827",0,0,0,0,5,0,1,0,1
"4828",1,1,1,1,2,0,0,0,0
"4829",0,10,16,21,17,12,14,14,8
"4830",0,0,0,6,8,1,3,3,5
"4831",3,3,4,5,5,5,10,5,7
"4832",0,0,0,0,0,0,0,0,15
"4833",0,0,0,0,0,0,0,0,86
"4834",3,54,50,29,42,52,44,31,10
"4835",0,0,0,0,0,0,0,0,18
"4836",0,16,10,6,18,10,7,5,0
"4837",4,48,68,29,18,16,11,10,5
"4838",3,53,29,50,46,67,48,22,17
"4839",4,23,23,40,16,10,17,9,5
"4840",16,57,94,148,139,86,66,37,28
"4841",0,1,1,2,3,0,3,5,2
"4842",2,17,30,38,24,31,15,27,31
"4843",0,0,0,0,0,0,0,0,34
"4844",0,15,16,48,11,23,29,38,29
"4845",0,0,0,0,4,5,6,6,6
"4846",0,0,49,55,39,26,23,22,12
"4847",0,0,0,0,0,0,5,4,1
"4848",0,0,0,0,0,0,0,0,1
"4849",1,1,2,2,3,6,10,2,2
"4850",5,7,17,5,12,14,33,22,30
"4851",2,5,17,19,17,16,15,15,4
"4852",0,0,0,12,8,2,4,0,2
"4853",0,0,0,0,0,0,4,11,30
"4854",0,0,0,0,0,0,13,25,48
"4855",0,0,0,63,171,69,42,27,26
"4856",0,1,0,0,0,0,1,0,0
"4857",0,2,7,15,16,8,7,1,7
"4858",5,43,28,23,25,20,22,15,14
"4859",9,28,61,96,178,124,102,69,38
"4860",0,6,7,9,6,3,5,3,4
"4861",6,9,23,18,9,2,3,3,3
"4862",0,5,0,1,4,14,11,7,4
"4863",0,0,0,1,0,7,2,0,0
"4864",0,12,14,15,19,3,10,4,0
"4865",0,0,0,0,0,12,1641,522,177
"4866",0,1,0,0,1,0,0,1,4
"4867",0,0,0,0,1,5,3,1,1
"4868",0,0,0,0,0,49,20,11,5
"4869",1,6,14,16,13,18,7,10,4
"4870",0,0,0,0,0,31,16,13,8
"4871",1,5,13,18,26,16,8,5,5
"4872",3,14,32,29,36,25,10,22,9
"4873",0,0,0,100,100,98,80,78,52
"4874",0,0,0,1,0,4,7,4,7
"4875",0,49,45,40,44,46,40,48,43
"4876",0,0,0,0,0,0,0,3,0
"4877",0,0,0,0,0,0,0,8,60
"4878",0,0,0,0,0,181,132,81,56
"4879",2,14,17,35,17,28,19,11,8
"4880",1,0,1,1,1,2,2,4,6
"4881",0,0,0,0,0,1,2,0,11
"4882",0,0,0,0,0,0,23,172,149
"4883",33,212,211,317,340,330,241,196,107
"4884",2,5,9,17,11,20,14,8,2
"4885",0,3,4,8,10,4,3,3,1
"4886",0,0,0,0,0,0,0,6,3
"4887",0,0,8,3,9,7,5,3,1
"4888",0,0,0,7,8,16,5,12,4
"4889",0,2,11,10,2,7,1,4,2
"4890",0,0,0,0,43,56,52,28,19
"4891",0,4,3,5,3,0,0,0,2
"4892",0,3,6,8,5,10,5,2,2
"4893",5,43,50,57,75,96,68,28,15
"4894",1,10,15,5,0,3,2,2,1
"4895",0,0,2,5,6,6,7,2,1
"4896",7,52,38,77,53,34,8,16,3
"4897",0,0,0,0,0,0,0,0,24
"4898",5,11,13,12,13,18,10,9,14
"4899",0,1,6,2,1,3,3,2,1
"4900",18,11,11,5,5,6,11,15,8
"4901",4,4,17,47,48,40,56,46,39
"4902",0,0,0,10,58,39,27,22,21
"4903",29,112,244,393,501,211,197,168,80
"4904",0,0,639,513,300,221,208,131,116
"4905",0,0,0,2,12,15,19,16,5
"4906",89,304,389,492,345,300,212,149,85
"4907",0,0,0,0,0,0,2,9,4
"4908",0,0,0,0,0,0,0,0,230
"4909",0,0,0,0,0,32,32,17,12
"4910",0,14,27,32,49,22,12,1,0
"4911",0,0,3,5,3,1,3,1,0
"4912",0,0,0,78,166,154,134,138,55
"4913",0,0,0,0,0,24,518,266,130
"4914",36,119,207,178,229,379,253,151,136
"4915",0,4,4,5,4,7,2,16,47
"4916",2,2,0,1,0,0,0,0,0
"4917",0,0,0,0,0,0,0,3,27
"4918",0,1,3,4,3,9,2,2,1
"4919",5,26,41,50,54,31,37,50,15
"4920",0,0,19,53,42,36,23,17,14
"4921",0,1,3,1,6,11,12,2,10
"4922",51,145,205,235,256,272,238,218,161
"4923",0,16,75,129,132,91,120,72,80
"4924",0,0,0,0,0,127,214,184,75
"4925",0,0,0,0,1,12,16,10,5
"4926",0,0,0,0,25,171,112,121,85
"4927",5,31,57,60,63,40,22,31,23
"4928",0,0,0,0,0,0,0,355,222
"4929",4,23,33,32,32,26,32,34,41
"4930",0,4,4,5,2,6,1,1,3
"4931",5,17,15,20,5,37,55,51,42
"4932",23,93,96,102,92,68,51,48,69
"4933",0,0,0,0,0,0,0,55,21
"4934",0,0,0,3,1,8,5,13,9
"4935",0,0,1,2,3,7,5,6,1
"4936",0,0,0,11,9,6,5,3,2
"4937",0,0,0,176,208,140,138,95,77
"4938",0,0,0,3,0,4,1,2,1
"4939",0,0,216,282,375,287,206,112,97
"4940",1,2,2,1,4,6,2,1,0
"4941",0,0,0,0,0,0,18,27,32
"4942",0,0,0,0,0,0,0,12,20
"4943",0,1,3,2,2,1,1,5,1
"4944",0,0,1,23,15,15,8,5,5
"4945",0,0,8,7,12,6,2,7,9
"4946",1,1,0,2,3,5,5,1,3
"4947",0,0,0,0,0,2,2,2,0
"4948",0,0,0,15,22,25,15,18,10
"4949",0,1,4,3,2,4,3,0,3
"4950",10,130,142,165,131,149,91,69,74
"4951",0,0,0,0,0,0,34,38,27
"4952",10,16,27,22,39,26,6,2,4
"4953",0,0,0,0,0,0,0,0,15
"4954",25,154,216,238,292,313,287,146,78
"4955",0,0,2,3,3,3,5,6,11
"4956",1,9,7,11,23,30,20,7,9
"4957",2,5,30,19,18,12,9,10,6
"4958",0,0,0,0,0,0,0,0,30
"4959",0,0,0,0,0,0,0,0,155
"4960",0,10,21,8,4,13,14,4,3
"4961",0,6,2,0,0,0,13,85,67
"4962",0,0,0,1,0,0,2,1,1
"4963",0,17,48,14,6,11,2,1,0
"4964",0,0,0,0,0,0,4,21,13
"4965",0,0,1,2,1,5,2,1,1
"4966",0,0,0,0,0,0,0,0,1
"4967",1,0,2,0,0,1,0,0,0
"4968",0,0,0,0,0,0,0,130,398
"4969",0,0,12,5,2,2,2,4,0
"4970",0,0,0,0,0,0,0,33,15
"4971",0,0,3,1,0,0,0,0,0
"4972",0,0,44,36,49,38,23,5,0
"4973",0,1,5,2,2,4,4,4,1
"4974",12,41,91,76,48,35,37,30,32
"4975",0,0,0,0,0,0,1,1,0
"4976",3,132,136,89,31,27,30,15,5
"4977",0,0,0,0,0,293,188,172,188
"4978",0,0,0,0,1459,659,471,256,144
"4979",0,0,0,28,67,72,56,56,49
"4980",0,1,18,4,0,37,51,31,29
"4981",3,14,29,27,30,23,21,18,8
"4982",4,8,1,2,2,10,6,4,1
"4983",0,0,65,90,19,23,7,1,1
"4984",0,0,0,0,0,206,351,177,99
"4985",32,63,97,182,193,179,135,104,104
"4986",0,0,0,0,0,0,0,0,19
"4987",0,0,0,6,13,5,10,7,6
"4988",0,0,0,0,0,0,41,24,22
"4989",12,5,11,18,33,35,51,32,17
"4990",0,4,2,0,1,1,0,1,0
"4991",0,0,2,1,13,16,8,5,4
"4992",0,1,2,1,2,1,0,0,0
"4993",0,0,0,11,29,34,21,7,6
"4994",0,1,0,0,2,2,1,0,0
"4995",14,61,50,61,88,93,67,44,29
"4996",4,25,20,28,30,30,15,13,7
"4997",2,15,11,16,21,25,38,60,28
"4998",0,0,0,0,6,94,49,44,18
"4999",0,0,0,0,0,0,1,1,0
"5000",4,74,143,233,262,239,156,46,38
"5001",0,0,0,0,0,0,0,50,88
"5002",0,0,0,0,0,0,0,8,23
"5003",32,59,180,250,202,176,121,70,36
"5004",0,7,22,22,26,20,24,20,14
"5005",2,5,0,4,6,2,3,2,1
"5006",1,7,13,7,13,21,20,21,11
"5007",1,1,7,10,18,9,7,7,1
"5008",0,0,0,62,165,188,150,101,96
"5009",0,0,0,0,0,0,0,0,17
"5010",46,192,313,291,252,262,226,130,59
"5011",0,0,0,0,0,0,0,1,0
"5012",0,0,0,0,0,1,0,0,0
"5013",0,1,2,10,1,3,2,2,5
"5014",0,0,0,0,0,0,19,15,18
"5015",1,0,1,1,2,6,0,0,0
"5016",0,0,0,0,0,3,8,6,7
"5017",0,0,0,120,93,81,97,104,131
"5018",1,0,0,1,8,3,0,0,1
"5019",0,0,0,0,0,0,1,0,3
"5020",0,0,0,5,3,7,14,13,5
"5021",0,2,7,25,30,28,17,6,8
"5022",1,1,19,10,10,5,3,4,5
"5023",4,5,8,13,15,22,8,8,8
"5024",0,7,0,0,0,0,0,0,0
"5025",0,2,1,1,1,1,0,1,0
"5026",0,1,3,1,0,0,4,1,0
"5027",0,0,0,0,0,61,36,38,33
"5028",1,9,23,9,6,13,2,3,5
"5029",7,68,68,57,152,79,40,50,47
"5030",46,195,258,253,208,176,122,84,35
"5031",2,13,25,40,53,19,28,21,23
"5032",2,9,19,16,14,13,20,7,8
"5033",0,0,0,0,0,17,27,28,12
"5034",1,1,1,1,0,0,0,0,1
"5035",2,1,0,0,2,5,2,4,1
"5036",0,9,9,15,13,7,7,10,1
"5037",23,94,114,128,106,65,92,76,47
"5038",7,18,78,29,24,14,11,4,2
"5039",8,51,28,46,38,25,20,20,24
"5040",0,0,0,409,519,679,666,535,366
"5041",2,4,12,2,1,3,1,2,0
"5042",0,0,0,0,0,338,190,134,124
"5043",1,0,5,4,0,2,0,2,0
"5044",0,0,0,0,10,11,6,19,8
"5045",0,0,0,4,10,12,4,3,1
"5046",0,0,4,74,117,69,72,67,61
"5047",23,77,113,151,141,114,49,3,4
"5048",10,60,85,68,82,69,57,43,30
"5049",0,0,0,0,0,0,0,2,34
"5050",0,3,6,13,19,24,14,6,11
"5051",0,0,0,0,0,5,14,8,4
"5052",8,86,68,62,72,77,44,56,44
"5053",13,54,78,75,61,30,39,18,7
"5054",0,0,0,0,0,18,5,4,5
"5055",0,0,0,0,4,2,3,1,1
"5056",0,0,0,18,22,37,53,54,31
"5057",1,2,9,6,14,18,10,7,4
"5058",1,8,16,19,23,20,27,14,14
"5059",4,27,42,59,65,46,39,21,16
"5060",0,38,72,49,81,44,69,42,15
"5061",0,0,2,2,11,16,12,15,2
"5062",0,11,8,11,50,31,9,9,6
"5063",0,0,0,0,0,285,195,154,100
"5064",52,194,144,119,151,106,66,51,29
"5065",0,0,0,0,240,150,133,117,74
"5066",227,642,834,846,733,670,504,517,403
"5067",0,1,1,0,1,0,0,1,0
"5068",0,0,0,0,0,0,0,4,4
"5069",0,0,0,0,0,0,55,79,7
"5070",0,0,0,0,0,0,23,11,14
"5071",6,33,30,26,8,22,8,7,5
"5072",0,3,0,1,1,0,1,0,3
"5073",9,397,504,688,895,824,624,499,358
"5074",21,163,187,96,91,146,119,83,69
"5075",6,22,26,30,33,17,19,15,21
"5076",0,0,0,0,0,0,11,16,19
"5077",0,1,7,7,4,3,1,1,0
"5078",0,0,0,0,0,0,0,0,19
