"","Checkin_Monday","Checkin_Tuesday","Checkin_Wednesday","Checkin_Thursday","Checkin_Friday","Checkin_Saturday","Checkin_Sunday"
"4922",223,244,226,222,212,288,366
"4923",51,68,77,73,208,127,111
"4924",42,47,52,52,68,170,169
"4925",7,3,9,4,5,8,8
"4926",58,45,50,54,56,110,141
"4927",41,42,54,54,36,53,52
"4928",89,63,55,72,88,98,112
"4929",37,24,29,40,36,30,61
"4930",4,0,3,2,3,10,4
"4931",35,26,27,23,32,52,52
"4932",80,69,78,61,73,125,156
"4933",7,17,7,7,9,12,17
"4934",4,1,1,4,7,17,5
"4935",3,5,3,1,2,7,4
"4936",2,2,6,8,7,6,5
"4937",81,67,71,84,95,226,210
"4938",2,0,0,1,3,2,3
"4939",187,158,215,180,189,351,295
"4940",3,5,1,1,5,2,2
"4941",4,7,5,4,12,15,30
"4942",5,3,2,3,4,8,7
"4943",2,3,2,1,0,1,7
"4944",7,7,15,17,9,3,14
"4945",9,5,6,0,3,10,18
"4946",3,2,3,2,4,3,4
"4947",0,0,1,2,1,2,0
"4948",5,6,13,6,15,36,24
"4949",4,1,2,2,3,1,7
"4950",89,73,99,75,124,255,246
"4951",10,16,13,16,15,14,15
"4952",14,25,26,21,25,17,24
"4953",0,2,3,3,2,1,4
"4954",233,194,195,193,210,311,413
"4955",5,5,6,6,1,5,5
"4956",15,19,17,9,17,24,16
"4957",11,18,19,23,10,17,13
"4958",6,1,5,1,2,6,9
"4959",13,10,9,6,16,55,46
"4960",9,12,7,12,9,12,16
"4961",15,15,14,18,34,42,35
"4962",0,0,3,1,0,1,0
"4963",1,11,32,26,13,14,2
"4964",3,1,1,5,3,14,11
"4965",0,0,0,2,7,2,2
"4966",1,0,0,0,0,0,0
"4967",0,0,0,0,0,2,2
"4968",66,77,63,68,84,78,92
"4969",0,0,3,0,10,14,0
"4970",7,3,3,7,4,11,13
"4971",0,0,1,1,1,1,0
"4972",23,30,12,24,40,50,16
"4973",4,2,3,6,3,1,4
"4974",26,57,44,48,57,94,76
"4975",0,0,0,0,1,1,0
"4976",53,36,81,66,71,60,101
"4977",90,90,104,94,113,200,150
"4978",369,279,417,384,469,531,540
"4979",48,18,24,35,32,73,98
"4980",24,25,26,32,27,30,7
"4981",7,12,21,42,30,32,29
"4982",1,9,3,3,2,7,13
"4983",25,21,22,21,43,31,43
"4984",126,123,139,113,100,116,116
"4985",87,80,81,93,110,342,296
"4986",0,4,5,4,2,4,0
"4987",3,7,7,7,5,13,5
"4988",8,9,4,11,13,24,18
"4989",22,32,36,41,24,34,25
"4990",0,1,3,3,2,0,0
"4991",6,5,6,9,4,11,8
"4992",0,0,2,1,1,0,3
"4993",15,12,27,15,15,10,14
"4994",2,1,1,2,0,0,0
"4995",63,80,78,97,72,76,41
"4996",28,19,18,22,25,27,33
"4997",12,19,30,13,25,63,54
"4998",20,22,23,17,25,49,55
"4999",0,0,0,0,0,1,1
"5000",157,166,206,162,162,185,157
"5001",10,5,12,20,32,30,29
"5002",3,2,7,0,5,9,5
"5003",116,108,89,147,154,241,271
"5004",17,16,6,22,16,37,41
"5005",1,6,5,3,5,0,5
"5006",14,12,12,17,13,26,20
"5007",11,6,12,6,9,10,7
"5008",81,60,77,92,72,190,190
"5009",1,1,2,3,5,0,5
"5010",229,220,278,289,239,243,273
"5011",1,0,0,0,0,0,0
"5012",0,0,0,1,0,0,0
"5013",0,0,1,3,2,12,8
"5014",7,6,7,4,6,8,14
"5015",0,0,2,0,0,5,4
"5016",5,5,1,4,3,3,3
"5017",95,77,77,79,90,111,97
"5018",0,4,1,0,1,5,3
"5019",1,0,1,0,1,1,0
"5020",3,3,5,4,6,18,8
"5021",17,14,18,23,23,24,4
"5022",10,5,10,9,7,8,9
"5023",19,6,13,9,18,12,14
"5024",1,1,1,3,1,0,0
"5025",0,2,3,0,0,2,0
"5026",1,0,1,1,2,4,1
"5027",19,16,13,24,15,40,41
"5028",6,4,6,6,3,25,21
"5029",81,73,79,54,70,117,94
"5030",165,131,143,154,233,288,263
"5031",12,20,36,30,24,51,51
"5032",10,10,8,14,19,23,24
"5033",8,7,5,0,7,25,32
"5034",0,2,0,2,1,0,0
"5035",4,3,1,1,5,2,1
"5036",7,5,9,4,7,17,22
"5037",87,92,100,78,112,149,127
"5038",31,30,27,31,34,15,19
"5039",27,22,36,31,37,59,48
"5040",391,364,380,397,451,629,562
"5041",5,6,5,3,3,4,1
"5042",123,111,89,91,106,153,113
"5043",0,1,1,5,1,5,1
"5044",5,12,3,7,7,19,1
"5045",2,8,2,3,3,8,8
"5046",47,67,38,74,49,117,72
"5047",74,61,63,71,87,149,170
"5048",45,38,43,35,62,128,153
"5049",0,2,5,2,6,9,12
"5050",19,15,14,14,14,11,9
"5051",7,2,4,3,3,4,8
"5052",82,81,75,66,68,92,53
"5053",53,40,52,45,56,66,63
"5054",4,2,3,5,6,3,9
"5055",3,1,1,1,1,4,0
"5056",26,20,30,38,32,34,35
"5057",12,13,11,9,2,11,13
"5058",13,16,13,14,16,32,38
"5059",28,36,35,30,52,72,66
"5060",61,58,44,60,43,75,69
"5061",5,5,8,5,11,14,12
"5062",13,14,23,18,22,10,35
"5063",83,67,76,102,107,152,147
"5064",114,114,116,103,125,164,176
"5065",57,86,54,58,106,172,181
"5066",539,507,606,618,826,1201,1079
"5067",0,0,0,0,1,1,2
"5068",0,3,1,1,0,0,3
"5069",24,27,37,34,15,0,4
"5070",6,5,3,2,8,13,11
"5071",24,24,18,14,26,19,20
"5072",1,3,3,0,2,0,0
"5073",528,346,376,390,551,1237,1370
"5074",96,149,158,136,197,186,53
"5075",31,26,25,16,25,29,37
"5076",6,8,4,4,5,8,11
"5077",4,3,3,2,5,4,3
"5078",6,0,1,3,5,1,3
"5079",6,9,5,5,7,9,17
"5080",85,82,79,76,87,124,115
"5081",75,64,70,65,67,76,104
"5082",2,13,11,10,10,13,0
"5083",1,3,1,1,0,0,0
"5084",3,2,1,2,2,5,5
"5085",429,271,231,273,380,570,572
"5086",104,79,47,70,100,152,164
"5087",1,0,2,3,4,3,3
"5088",1,3,2,2,4,4,2
"5089",38,19,19,25,30,36,39
"5090",5,11,11,10,9,14,16
"5091",46,44,45,42,75,131,248
"5092",3,4,5,8,6,9,7
"5093",20,31,26,32,26,14,15
"5094",8,12,13,11,16,28,16
"5095",163,199,173,110,132,146,164
"5096",3,4,0,3,10,24,11
"5097",112,102,106,75,123,174,159
"5098",25,42,43,32,34,53,20
"5099",1,1,2,1,0,3,6
"5100",22,11,11,11,18,34,27
"5101",2,7,5,6,8,40,28
"5102",32,32,21,29,34,92,82
"5103",0,1,0,0,0,0,0
"5104",24,36,28,37,39,17,9
"5105",6,3,4,9,6,8,7
"5106",7,6,10,17,20,30,12
"5107",57,53,86,57,56,110,70
"5108",5,3,1,6,7,15,8
"5109",6,11,9,13,12,11,7
"5110",15,23,19,15,19,29,27
"5111",95,106,85,94,121,134,116
"5112",6,2,2,2,0,4,6
"5113",28,38,43,37,51,48,40
"5114",0,2,0,6,0,4,0
"5115",22,20,16,17,21,37,34
"5116",30,50,81,57,78,101,30
"5117",127,111,131,137,163,247,229
"5118",47,26,27,42,60,95,91
"5119",4,8,6,6,8,7,6
"5120",128,161,150,192,290,344,316
"5121",12,11,19,50,20,29,28
"5122",0,1,2,1,1,3,10
"5123",13,14,9,11,18,26,12
"5124",0,1,1,0,0,1,3
"5125",14,19,19,10,26,37,34
"5126",5,7,6,2,6,3,4
"5127",1,1,1,0,1,0,0
"5128",29,28,22,24,24,36,56
"5129",4,3,2,3,5,10,9
"5130",25,29,40,50,40,37,16
"5131",0,0,1,0,1,1,1
"5132",14,23,26,22,23,15,19
"5133",14,28,8,16,18,30,31
"5134",4,3,2,4,0,2,1
"5135",30,28,27,24,43,45,61
"5136",3,4,0,0,5,1,0
"5137",4,1,0,2,3,4,3
"5138",12,6,5,10,9,21,13
"5139",33,30,28,20,36,53,35
"5140",78,41,54,68,56,104,75
"5141",3,1,2,5,7,5,5
"5142",8,6,12,12,11,8,4
"5143",12,10,5,28,10,12,16
"5144",0,0,0,1,2,1,1
"5145",24,22,16,24,18,11,14
"5146",0,0,0,0,3,0,1
"5147",50,8,50,37,40,89,78
"5148",11,11,14,10,10,21,17
"5149",3,3,1,1,0,0,1
"5150",1,1,2,1,1,0,1
"5151",7,12,12,10,7,7,10
"5152",1,2,8,2,2,5,2
"5153",19,19,26,22,27,55,25
"5154",4,5,4,4,8,7,14
"5155",112,195,186,181,235,226,104
"5156",1,4,5,4,5,17,7
"5157",0,1,2,0,2,2,1
"5158",291,219,259,246,310,535,556
"5159",125,147,136,142,154,123,132
"5160",19,15,29,25,34,42,37
"5161",85,25,20,19,14,17,24
"5162",54,56,42,55,61,43,63
"5163",14,35,18,25,37,15,12
"5164",351,331,517,350,398,391,414
"5165",0,0,0,0,1,0,0
"5166",2,0,1,1,1,1,1
"5167",14,23,27,29,26,33,15
"5168",6,7,6,12,13,14,9
"5169",4,4,4,7,17,13,9
"5170",11,23,13,21,21,31,33
"5171",24,9,15,15,10,16,21
"5172",34,33,48,42,62,143,156
"5173",13,37,117,155,152,177,123
"5174",3,7,1,7,3,4,7
"5175",1,2,3,1,1,3,1
"5176",6,2,5,11,15,34,38
"5177",27,24,43,39,48,73,75
"5178",23,23,21,30,15,16,18
"5179",65,70,88,74,75,110,85
"5180",14,11,15,39,44,51,44
"5181",187,59,230,233,229,279,288
"5182",7,3,5,9,3,10,3
"5183",1,4,3,5,12,3,0
"5184",5,4,9,7,5,26,21
"5185",231,276,332,328,303,281,130
"5186",3,1,1,2,2,2,2
"5187",59,52,50,66,36,45,67
"5188",282,222,210,207,278,431,352
"5189",27,49,35,34,43,57,53
"5190",2,5,8,6,9,9,12
"5191",1,1,1,0,1,1,0
"5192",13,16,10,13,14,26,19
"5193",105,105,83,120,107,90,77
"5194",25,12,13,19,29,65,52
"5195",39,36,32,30,29,2,17
"5196",19,15,14,17,19,25,14
"5197",28,15,27,35,34,54,65
"5198",0,0,0,0,0,1,0
"5199",19,16,9,10,11,35,45
"5200",74,100,80,108,75,70,22
"5201",10,13,13,13,13,18,19
"5202",27,34,45,33,34,40,17
"5203",21,23,14,13,24,25,22
"5204",8,13,21,15,20,41,22
"5205",4,10,11,12,11,41,40
"5206",1,4,5,3,4,3,0
"5207",2,4,4,14,7,11,14
"5208",5,9,9,1,10,22,20
"5209",13,8,17,15,40,108,104
"5210",20,16,19,29,27,21,6
"5211",4,5,4,8,7,10,10
"5212",79,52,91,89,99,112,91
"5213",54,9,58,68,102,182,196
"5214",31,35,40,39,58,91,74
"5215",2,0,2,1,1,0,0
"5216",0,3,1,3,0,2,0
"5217",150,128,149,147,143,322,236
"5218",0,0,0,0,1,0,0
"5219",1,1,0,2,2,2,1
"5220",2,3,2,3,4,3,3
"5221",10,10,10,19,9,20,8
"5222",3,2,1,3,1,6,4
"5223",9,3,9,8,16,37,25
"5224",6,11,10,7,10,15,15
"5225",66,113,78,94,81,156,125
"5226",34,39,58,46,58,69,54
"5227",9,6,12,5,6,4,0
"5228",9,10,12,16,8,2,2
"5229",3,7,11,9,6,8,0
"5230",10,20,16,24,33,55,29
"5231",208,229,198,217,323,533,100
"5232",15,18,11,28,38,43,14
"5233",107,75,84,90,71,147,203
"5234",8,4,7,6,3,7,11
"5235",0,0,1,5,2,2,2
"5236",32,33,37,39,38,26,15
"5237",31,34,45,36,32,16,8
"5238",9,9,6,9,8,13,12
"5239",24,59,39,64,67,100,104
"5240",11,9,6,7,12,7,1
"5241",1,0,2,1,4,3,6
"5242",50,65,70,71,80,157,103
"5243",4,3,4,6,6,12,6
"5244",50,54,39,52,50,80,68
"5245",2,1,1,1,1,3,0
"5246",1,2,0,0,0,0,0
"5247",1,0,1,1,1,0,0
"5248",355,334,287,327,390,527,492
"5249",52,52,30,47,53,62,61
"5250",1,0,0,0,0,0,0
"5251",2,1,6,2,5,3,2
"5252",40,31,35,39,40,21,28
"5253",10,9,11,6,15,8,14
"5254",7,10,7,6,4,0,5
"5255",0,1,0,0,2,1,2
"5256",4,3,1,1,3,6,9
"5257",2,6,6,2,0,5,7
"5258",18,16,11,10,7,16,22
"5259",51,61,71,85,98,216,83
"5260",25,13,25,30,54,33,34
"5261",30,34,23,26,33,42,31
"5262",45,41,43,51,56,25,18
"5263",5,7,3,4,3,2,1
"5264",3,7,6,4,4,5,1
"5265",19,9,17,26,12,19,21
"5266",4,18,10,10,5,0,0
"5267",19,26,18,26,32,32,32
"5268",9,10,6,5,9,8,2
"5269",0,0,1,1,1,0,0
"5270",109,130,135,122,160,123,236
"5271",3,7,10,12,7,7,1
"5272",74,37,41,46,82,116,119
"5273",3,1,1,0,1,2,3
"5274",43,66,58,59,74,90,72
"5275",2,5,3,1,2,1,6
"5276",0,0,0,0,0,1,0
"5277",13,35,22,34,17,16,14
"5278",6,5,7,4,7,13,5
"5279",1,3,1,1,2,2,3
"5280",751,481,495,533,657,1149,1170
"5281",43,56,62,57,101,94,61
"5282",27,7,18,15,28,43,41
"5283",1,1,2,0,0,2,0
"5284",0,2,6,6,1,4,1
"5285",2,2,8,8,6,5,11
"5286",5,1,3,4,3,2,3
"5287",0,0,1,1,1,0,1
"5288",36,33,23,19,32,44,38
"5289",0,0,0,1,0,0,1
"5290",17,18,22,17,22,28,27
"5291",9,10,10,9,14,8,18
"5292",5,2,3,5,4,1,1
"5293",53,56,62,48,50,76,75
"5294",22,21,22,25,19,29,16
"5295",26,24,31,33,38,39,40
"5296",42,34,43,41,41,77,88
"5297",1,1,0,0,0,1,2
"5298",1,0,0,0,0,0,0
"5299",0,1,0,0,1,1,0
"5300",20,7,9,14,21,19,16
"5301",19,30,27,21,32,53,39
"5302",0,1,2,1,4,2,2
"5303",1,0,1,2,1,3,0
"5304",3,3,1,4,12,2,3
"5305",777,595,594,618,837,1372,1350
"5306",4,1,4,4,9,8,5
"5307",2,5,8,6,5,13,6
"5308",3,3,2,0,1,4,1
"5309",1,1,2,3,5,6,4
"5310",13,33,24,18,35,29,22
"5311",0,10,7,25,9,42,13
"5312",465,365,358,379,501,793,540
"5313",153,157,223,240,299,533,477
"5314",2,4,8,5,5,10,8
"5315",1,0,3,5,5,7,10
"5316",4,9,7,12,8,24,26
"5317",96,101,103,101,113,156,125
"5318",99,77,77,76,95,108,95
"5319",1,1,1,3,6,7,8
"5320",8,2,5,7,6,6,17
"5321",0,0,2,1,0,0,0
"5322",21,17,12,11,15,1,5
"5323",3,9,8,9,6,5,8
"5324",30,31,27,52,38,36,28
"5325",37,31,23,27,38,64,49
"5326",10,7,13,7,5,18,12
"5327",8,5,5,11,7,23,26
"5328",54,56,60,55,71,122,101
"5329",23,28,25,36,33,33,30
"5330",63,49,47,50,64,90,102
"5331",2,1,2,3,2,0,0
"5332",16,18,16,27,22,31,49
"5333",7,11,17,16,17,8,21
"5334",6,9,7,2,3,1,6
"5335",19,28,32,31,27,60,52
"5336",14,18,38,34,40,43,54
"5337",4,0,2,2,1,0,7
"5338",2,2,6,5,3,4,7
"5339",7,6,4,6,3,4,5
"5340",31,22,26,26,26,5,8
"5341",1,0,2,0,2,1,2
"5342",99,130,158,137,107,121,122
"5343",0,0,0,1,0,0,0
"5344",99,100,94,111,115,156,143
"5345",3,2,2,6,2,5,7
"5346",40,33,44,52,35,42,49
"5347",4,1,0,5,7,5,7
"5348",182,159,137,109,202,302,314
"5349",32,25,43,49,32,85,85
"5350",3,3,6,5,4,4,7
"5351",8,8,4,5,10,7,8
"5352",296,265,286,315,372,552,516
"5353",0,3,4,3,3,3,0
"5354",1,0,0,0,1,0,18
"5355",3,3,0,0,5,4,4
"5356",1,4,8,2,5,0,1
"5357",79,61,47,66,91,180,147
"5358",54,35,32,52,60,67,70
"5359",13,20,17,16,23,35,27
"5360",4,0,1,1,0,5,2
"5361",16,17,21,17,34,66,57
"5362",0,1,0,1,2,1,0
"5363",1,1,0,0,0,2,0
"5364",2,3,2,6,4,3,0
"5365",14,4,14,11,9,18,11
"5366",3,6,1,5,3,4,5
"5367",0,5,3,6,4,4,4
"5368",10,9,3,6,8,10,11
"5369",3,51,87,80,66,154,87
"5370",9,4,11,9,9,6,4
"5371",5,4,4,7,6,6,2
"5372",5,2,2,7,7,9,17
"5373",195,124,123,132,155,227,219
"5374",0,0,0,0,0,1,0
"5375",17,12,12,9,8,14,11
"5376",16,16,14,20,20,24,24
"5377",29,18,19,11,29,37,30
"5378",14,15,13,14,18,10,6
"5379",6,5,4,7,10,11,12
"5380",0,0,0,0,1,153,1
"5381",5,4,9,8,17,14,12
"5382",192,170,206,252,299,240,175
"5383",22,40,40,39,23,35,8
"5384",0,0,0,0,1,1,0
"5385",0,1,3,1,0,5,3
"5386",5,6,8,12,11,20,23
"5387",331,315,367,514,505,999,975
"5388",20,57,16,22,35,43,45
"5389",1,2,0,3,1,2,2
"5390",2,1,2,2,2,0,3
"5391",3,2,4,2,1,0,0
"5392",2,1,1,2,1,1,3
"5393",1,2,0,1,0,0,2
"5394",3,3,5,3,3,5,3
"5395",4,5,4,4,2,3,3
"5396",4,2,5,5,9,13,10
"5397",5,2,5,6,3,4,8
"5398",2,4,8,3,3,2,2
"5399",11,11,15,11,15,14,10
"5400",32,53,93,80,118,145,108
"5401",13,5,14,7,14,6,12
"5402",19,33,22,27,23,13,12
"5403",52,56,60,57,43,31,21
"5404",11,2,5,1,4,5,12
"5405",67,40,49,77,69,128,152
"5406",2,2,2,1,1,4,0
"5407",48,55,56,58,58,47,34
"5408",115,103,112,138,150,241,383
"5409",6,4,4,3,5,2,3
"5410",3,3,10,2,1,7,6
"5411",10,10,4,5,8,40,41
"5412",10,29,22,9,6,7,11
"5413",8,5,8,9,8,13,9
"5414",1,1,0,2,2,0,2
"5415",26,37,37,41,42,55,49
"5416",0,0,1,0,0,1,1
"5417",797,809,758,913,888,1484,1428
"5418",1,3,5,6,2,5,8
"5419",253,201,207,193,237,288,315
"5420",1,6,3,3,6,6,9
"5421",2,0,0,2,3,2,2
"5422",3,0,0,1,0,0,1
"5423",86,37,81,93,93,184,175
"5424",1,1,4,0,2,3,0
"5425",2,3,5,2,2,3,5
"5426",6,7,8,8,2,6,0
"5427",4,3,3,1,4,7,1
"5428",10,10,15,11,13,8,7
"5429",7,3,4,3,3,5,8
"5430",80,102,106,102,103,134,22
"5431",2,4,5,7,3,3,7
"5432",2,3,1,4,6,0,0
"5433",2,4,6,1,6,20,13
"5434",4,12,3,13,10,3,3
"5435",78,203,197,214,198,213,198
"5436",11,14,10,6,5,21,17
"5437",31,47,38,53,54,103,76
"5438",90,46,82,101,116,181,213
"5439",0,0,0,1,0,0,0
"5440",41,40,48,42,51,58,56
"5441",2,1,1,0,3,0,0
"5442",1,0,1,2,5,0,1
"5443",110,147,160,133,144,145,42
"5444",0,2,2,3,1,1,1
"5445",26,24,61,82,61,77,39
"5446",1,3,3,3,3,3,1
"5447",35,41,32,36,43,57,49
"5448",15,37,38,27,45,52,25
"5449",8,7,5,10,11,3,5
"5450",14,9,16,9,11,25,14
"5451",266,208,203,236,276,305,321
"5452",0,0,0,1,0,0,0
"5453",307,198,193,201,276,432,462
"5454",2,6,3,5,14,20,22
"5455",8,11,9,10,15,15,11
"5456",0,4,0,5,4,1,1
"5457",13,10,20,23,10,4,5
"5458",10,45,28,33,31,42,25
"5459",4,1,1,3,4,5,2
"5460",4,6,5,13,18,14,8
"5461",239,202,208,216,260,267,256
"5462",0,0,1,0,0,1,0
"5463",5,8,10,6,4,8,17
"5464",0,0,0,0,1,2,1
"5465",1,2,0,1,0,0,1
"5466",12,13,12,12,9,5,6
"5467",6,3,7,2,7,14,30
"5468",7,17,19,21,29,30,20
"5469",16,9,20,32,21,24,31
"5470",12,8,13,4,19,7,11
"5471",5,7,4,9,4,12,11
"5472",9,5,5,7,9,8,4
"5473",12,3,1,5,2,8,9
"5474",1,1,0,0,0,1,0
"5475",5,6,6,1,3,10,2
"5476",5,6,19,10,10,11,14
"5477",8,3,3,11,3,4,2
"5478",11,8,18,20,16,17,12
"5479",5,6,14,8,10,23,4
"5480",29,37,33,38,24,15,7
"5481",5,16,13,11,20,30,19
"5482",342,252,343,362,365,348,490
"5483",14,23,18,17,16,25,4
"5484",44,125,116,145,142,223,148
"5485",103,61,82,94,132,208,279
"5486",0,1,1,1,0,1,3
"5487",6,14,29,29,19,10,1
"5488",1,0,2,0,0,3,1
"5489",2,2,2,1,4,3,3
"5490",39,54,53,74,82,79,85
"5491",11,14,12,16,25,14,10
"5492",0,2,1,0,3,3,0
"5493",9,4,2,3,4,3,8
"5494",37,19,50,38,33,122,135
"5495",3,4,1,5,2,9,12
"5496",8,4,6,6,12,11,8
"5497",1,2,2,0,3,6,2
"5498",48,51,66,64,76,68,60
"5499",2,1,1,0,4,8,7
"5500",3,2,4,1,2,6,7
"5501",31,49,39,30,45,42,21
"5502",4,13,14,11,12,2,0
"5503",41,26,30,31,40,82,64
"5504",12,11,27,12,16,36,50
"5505",1,17,5,11,4,9,19
"5506",113,127,127,137,153,187,154
"5507",0,1,0,0,0,1,0
"5508",0,2,1,0,3,1,0
"5509",58,48,64,62,57,100,71
"5510",48,34,87,56,80,89,61
"5511",36,28,27,31,32,23,26
"5512",0,3,3,2,3,1,2
"5513",22,15,27,26,38,64,62
"5514",19,25,15,16,21,30,22
"5515",12,13,15,13,8,10,8
"5516",8,9,13,15,13,19,16
"5517",8,3,13,13,14,22,20
"5518",3,2,2,4,5,7,3
"5519",7,4,4,8,5,21,13
"5520",0,1,1,0,0,1,1
"5521",2,4,5,6,5,8,6
"5522",170,231,246,242,214,289,154
"5523",24,26,17,18,25,38,29
"5524",85,69,85,83,97,110,116
"5525",2,1,0,2,0,1,0
"5526",160,119,149,116,144,117,101
"5527",131,102,121,120,123,174,211
"5528",56,34,37,42,68,193,193
"5529",0,0,0,1,0,1,0
"5530",277,232,239,257,272,290,262
"5531",19,21,21,26,29,18,28
"5532",0,2,0,1,4,6,2
"5533",108,116,244,171,237,532,471
"5534",118,102,102,123,130,104,128
"5535",203,202,286,290,272,376,439
"5536",0,1,0,2,0,0,0
"5537",0,0,0,0,0,1,0
"5538",12,7,9,16,11,6,9
"5539",242,184,191,190,212,290,304
"5540",0,1,1,1,0,0,0
"5541",2,3,1,7,4,2,2
"5542",4,2,2,2,3,2,1
"5543",8,1,0,3,7,37,140
"5544",2,0,5,0,0,4,4
"5545",8,12,10,10,27,24,19
"5546",14,22,19,23,13,30,18
"5547",89,87,87,83,82,109,99
"5548",21,12,16,5,12,10,10
"5549",7,6,4,4,2,11,15
"5550",37,49,72,56,80,155,97
"5551",27,16,20,21,30,43,48
"5552",0,2,2,2,2,0,0
"5553",7,9,14,4,7,9,8
"5554",11,15,15,18,17,2,0
"5555",173,140,130,127,141,264,225
"5556",1,0,1,3,3,6,10
"5557",20,14,21,27,27,36,40
"5558",1,3,2,4,4,8,9
"5559",11,27,19,20,13,3,8
"5560",2,4,8,12,6,20,16
"5561",2,1,1,1,1,0,0
"5562",45,64,56,58,53,74,38
"5563",1,1,3,5,5,3,1
"5564",1,0,1,0,3,0,0
"5565",8,9,9,13,14,17,1
"5566",56,33,51,54,53,67,59
"5567",0,11,10,13,9,15,0
"5568",2,0,2,0,1,0,0
"5569",7,18,42,24,17,22,8
"5570",1,1,8,15,21,43,32
"5571",22,13,27,14,16,19,18
"5572",5,3,7,6,7,11,3
"5573",16,15,23,25,26,31,6
"5574",12,16,16,23,23,24,21
"5575",340,362,374,398,345,470,412
"5576",2,3,2,1,2,2,0
"5577",169,100,123,103,131,220,255
"5578",151,147,222,340,378,927,829
"5579",140,136,153,135,139,182,159
"5580",18,12,8,13,13,27,17
"5581",4,1,3,1,2,4,3
"5582",0,0,2,4,4,0,7
"5583",2,1,5,1,5,9,5
"5584",3,1,1,0,1,2,3
"5585",12,13,15,14,23,32,12
"5586",32,44,32,54,43,52,52
"5587",6,2,1,1,3,1,4
"5588",27,24,14,32,35,18,38
"5589",109,56,43,64,84,68,89
"5590",4,5,0,3,0,0,0
"5591",187,163,187,132,162,212,321
"5592",635,614,576,596,576,722,732
"5593",2,11,8,12,13,30,25
"5594",4,3,12,10,4,9,16
"5595",150,217,246,209,254,136,154
"5596",294,311,276,326,369,541,446
"5597",13,3,7,6,13,15,3
"5598",28,27,33,30,29,77,46
"5599",151,125,135,121,145,202,254
"5600",12,16,9,18,17,14,13
"5601",598,470,501,523,555,673,693
"5602",7,7,9,3,9,9,12
"5603",244,174,160,188,206,260,446
"5604",25,25,23,21,18,36,39
"5605",2,14,16,12,11,15,12
"5606",0,0,2,0,0,1,0
"5607",10,7,1,3,7,17,13
"5608",15,62,76,76,108,196,217
"5609",52,67,82,57,124,192,218
"5610",2,3,6,4,3,6,4
"5611",44,87,56,46,56,67,61
"5612",946,777,823,804,1150,2012,2090
"5613",13,13,16,17,17,34,26
"5614",1,4,4,2,2,14,0
"5615",16,5,10,7,16,17,11
"5616",19,16,27,21,33,39,35
"5617",3,6,2,1,5,6,7
"5618",150,128,129,144,162,188,156
"5619",1,7,7,4,7,11,9
"5620",2,5,4,11,10,9,7
"5621",0,1,2,2,2,3,4
"5622",38,30,37,30,31,76,44
"5623",90,66,83,100,145,200,95
"5624",24,17,12,12,20,23,28
"5625",5,4,4,3,6,11,2
"5626",10,8,25,22,30,73,4
"5627",13,46,66,53,70,117,16
"5628",15,11,9,11,6,16,17
"5629",31,29,48,35,40,52,50
"5630",0,0,0,0,0,0,1
"5631",16,26,21,37,24,25,20
"5632",46,43,46,38,29,61,40
"5633",0,0,1,0,0,1,1
"5634",21,17,16,24,23,25,24
"5635",2,3,1,1,0,1,0
"5636",179,113,104,135,158,360,329
"5637",411,288,309,302,328,491,559
"5638",0,8,3,11,12,26,17
"5639",4,7,3,1,4,4,0
"5640",4,0,1,2,2,1,0
"5641",90,88,84,87,86,157,138
"5642",3,1,3,4,1,1,3
"5643",2,0,0,0,0,0,0
"5644",4,9,4,7,5,8,4
"5645",15,21,22,22,14,29,24
"5646",45,43,24,32,53,79,72
"5647",28,18,21,21,16,40,35
"5648",32,39,45,47,71,108,127
"5649",6,7,8,7,4,8,14
"5650",26,9,14,18,21,11,19
"5651",29,20,28,16,23,24,15
"5652",0,1,0,3,1,1,0
"5653",3,2,1,11,0,5,0
"5654",90,61,63,66,95,151,145
"5655",1,2,4,1,5,10,2
"5656",37,33,47,56,46,53,83
"5657",56,47,56,61,52,118,125
"5658",1,1,3,3,0,2,2
"5659",279,212,227,261,333,300,187
"5660",15,25,19,10,22,10,10
"5661",6,5,4,10,5,7,11
"5662",31,25,53,33,31,39,28
"5663",1,0,0,0,0,1,1
"5664",0,1,0,2,1,1,2
"5665",0,0,0,0,0,1,0
"5666",3313,1965,1507,1974,3492,7223,6361
"5667",547,499,527,553,627,773,703
"5668",5,2,4,4,4,10,17
"5669",23,26,24,17,20,8,16
"5670",4,3,3,1,4,5,4
"5671",10,12,8,10,6,15,10
"5672",17,18,19,21,15,37,51
"5673",3,4,3,3,3,8,0
"5674",5,7,7,8,5,4,2
"5675",4,7,6,16,11,11,9
"5676",1,1,0,1,1,2,2
"5677",8,11,6,6,9,13,10
"5678",128,106,84,74,113,146,178
"5679",9,9,8,11,8,7,8
"5680",122,113,79,82,106,150,180
"5681",58,39,75,52,105,57,68
"5682",6,5,3,3,5,8,14
"5683",2,9,4,6,4,10,9
"5684",4,7,9,7,6,10,8
"5685",5,2,2,7,3,6,3
"5686",18,15,14,16,23,49,17
"5687",52,66,48,48,74,121,112
"5688",1,13,11,9,10,19,33
"5689",42,26,30,40,54,60,62
"5690",2,0,5,5,4,6,1
"5691",111,91,117,125,121,114,89
"5692",55,28,34,29,29,43,33
"5693",0,0,2,0,0,1,4
